Date (MST),OTHER,OTHER_ghg,WIND,WIND_ghg,GAS,GAS_ghg,HYDRO,HYDRO_ghg,SOLAR,SOLAR_ghg,ENERGY STORAGE,ENERGY STORAGE_ghg,COAL,COAL_ghg,DUAL FUEL,DUAL FUEL_ghg,Total Generation,Total_ghg,EI,Renewable Gen,Fossil Fuel Gen,Net Generation,Price,Alberta Internal Load,RE_percent,Temp (°C),Dew Point Temp (°C),Wind Spd (km/h),Hmdx
2024-10-20 13:00:00,258.316903310352,49.2965401726278,2591.99789743553,33.6959726666618,6564.69522681581,3190.44188023248,150.576413109435,3.61383391462644,1009.33055943926,43.4012140558883,0,0,,,,,10574.9170001104,3320.44944104229,313.99295531186,3751.90486998422,6823.01213012616,6823.01213012616,3.36,10199,35.5,18.4,3.9,35,
2024-10-20 14:00:00,255.614602906439,49.4909775328996,2815.34255209721,36.5994531772637,6652.89743326439,3233.30815256649,172.258309323655,4.13419942376773,944.566965666976,40.61637952368,0,0,,,,,10840.6798632587,3364.1491622241,310.326400618647,3932.16782708784,6908.51203617083,6908.51203617083,3.54,10319,36.3,19.5,1.8,34,
2024-10-20 15:00:00,253.766718736225,49.4129245955616,2930.3636739156,38.0947277609028,6780.21734504569,3295.18562969221,195.346669446511,4.68832006671627,676.84427137153,29.1043036689758,0,0,,,,,10836.5386785156,3416.48590578436,315.274646927424,3802.55461473364,7033.98406378191,7033.98406378191,2.66,10381,35.1,19.5,1.7,33,
2024-10-20 16:00:00,260.803678284354,50.1265504314131,3003.66959594376,39.0477047472688,6988.98994940148,3396.64911540912,215.318724881858,5.16764939716458,268.426273964163,11.542329780459,0,0,,,,,10737.2082224756,3502.53334976543,326.205218078361,3487.41459478978,7249.79362768584,7249.79362768584,7.53,10374,32.5,18.8,3.1,35,
2024-10-20 17:00:00,261.497341603703,50.1106293956036,3230.08566238165,41.9911136109614,7030.64904330658,3416.895435047,174.531519168086,4.18875646003405,8.44661095199072,0.363204270935601,-0.815944444404708,-0.0269261666653554,,,,,10704.3942329676,3513.52221261787,328.231765025699,3413.06379250173,7292.14638491028,7291.33044046587,8,10376,31.9,17.5,3.6,27,
2024-10-20 18:00:00,262.646535891957,49.9729423607402,3433.58960496055,44.6366648644871,6974.72623675717,3389.71695106399,229.475221948326,5.50740532675982,0.100000001490116,0.00430000006407499,-1.86455555379391,-0.0615303332751989,,,,,10898.6730440057,3489.77673328276,320.201984149084,3663.16482691036,7237.37277264913,7235.50821709534,4.92,10396,33.6,16.7,3.5,27,
2024-10-20 19:00:00,259.808300475544,49.7938804609447,3582.54426260365,46.5730754138475,6883.84863436964,3345.55043630364,165.986967126793,3.98368721104304,0.100000001490116,0.00430000006407499,0,0,,,,,10892.2881645771,3445.90537938954,316.361936750443,3748.63122973194,7143.65693484518,7143.65693484518,0.9,10291,34.4,17.1,3.8,28,
2024-10-20 20:00:00,260.767699565888,50.0520164089055,3633.3497360505,47.2335465686565,6655.58682561659,3234.61519724966,216.028900909829,5.18469362183591,0.100000001490116,0.00430000006407499,0,0,,,,,10765.8331621443,3337.08975384913,309.970413212725,3849.47863696182,6916.35452518248,6916.35452518248,0,10169,35.8,16.8,3.5,31,
2024-10-20 21:00:00,260.717521296077,49.6725549051984,3554.75097054217,46.2117626170482,6515.03502153463,3166.30702046583,179.421764494545,4.30612234786908,0.100000001490116,0.00430000006407499,0,0,,,,,10510.0252778689,3266.50176033601,310.798658801927,3734.2727350382,6775.75254283071,6775.75254283071,0,9888,35.5,17.3,3.6,38,
2024-10-20 22:00:00,257.391236686839,49.3453631519938,3533.16621990045,45.9311608587058,6258.87791258787,3041.81466551771,126.431353968572,3.03435249524574,0.100000001490116,0.00430000006407499,-8.31599986130993,-0.274427995423228,,,,,10167.6507232839,3139.85541402829,308.808347127624,3659.69757387051,6516.26914927471,6507.9531494134,0,9610,36,17,3.5,29,
